认识: 认识 
释放: 释放 
磨炼: 磨炼 
指向: 指向 
支配: 支配 
历经: 历经 
编织: 编织 
走过: 走过 
夺得: 夺得 
分掉: 分掉 
还是: 还是 
中国化: 中国化 
奋斗: 奋斗 
压实: 压实 
担心: 担心 
免去: 免去 
出台: 出台 
纳入: 纳入 
审视: 审视 
铺: 铺 
有悖于: 有悖于 
建养: 建养 
坦言: 坦言 
治愈: 治愈 
•: • 
接待: 接待 
萌约: 萌约 
创业: 创业 
播发: 播发 
　　惟: 　　惟 
不如: 不如 
驱逐: 驱逐 
锁定: 锁定 
打破: 打破 
增至: 增至 
饮用: 饮用 
追赃: 追赃 
畅谈: 畅谈 
寄语: 寄语 
坚守: 坚守 
笑: 笑 
拦: 拦 
热存: 热存 
烧: 烧 
奴役: 奴役 
属于: 属于 
攸关: 攸关 
指明: 指明 
善于: 善于 
插: 插 
投资: 投资 
诊断: 诊断 
进军: 进军 
迎来: 迎来 
易发: 易发 
轻取: 轻取 
卫冕: 卫冕 
堪称: 堪称 
诞生: 诞生 
点评: 点评 
品尝: 品尝 
等到: 等到 
拼: 拼 
吞: 吞 
可谓: 可谓 
谈及: 谈及 
无缘: 无缘 
正值: 正值 
称得上: 称得上 
兼: 兼 
抵制: 抵制 
分为: 分为 
解放: 解放 
伸: 伸 
综合: 综合 
受灾: 受灾 
川藏: 川藏 
阐述: 阐述 
呼唤: 呼唤 
引用: 引用 
失去: 失去 
紧跟: 紧跟 
简称: 简称 
秉持: 秉持 
登陆: 登陆 
突击: 突击 
沉浮: 沉浮 
力戒: 力戒 
重卡: 重卡 
看望: 看望 
重申: 重申 
深入: 深入 
凸显: 凸显 
摄习: 摄习 
飘: 飘 
通报: 通报 
充抵: 充抵 
吸取: 吸取 
提前: 提前 
耐: 耐 
常驻: 常驻 
宣传: 宣传 
旋转: 旋转 
透露: 透露 
送给: 送给 
迎接: 迎接 
游: 游 
巩固: 巩固 
补助: 补助 
规划: 规划 
试点: 试点 
合奏: 合奏 
停伐: 停伐 
果及: 果及 
落户: 落户 
变身: 变身 
转化: 转化 
调: 调 
回归: 回归 
输入: 输入 
否认: 否认 
传播: 传播 
建议: 建议 
流行: 流行 
迁离: 迁离 
争: 争 
相聚: 相聚 
吓死: 吓死 
唱响: 唱响 
开放: 开放 
下辖: 下辖 
奋飞: 奋飞 
吹: 吹 
赏: 赏 
竖: 竖 
表态: 表态 
排放: 排放 
浪费: 浪费 
共建: 共建 
操控: 操控 
流向: 流向 
上市: 上市 
征求: 征求 
晒: 晒 
聊: 聊 
下决心: 下决心 
自学: 自学 
不予: 不予 
报道: 报道 
总结: 总结 
招聘: 招聘 
休学: 休学 
评估: 评估 
留守: 留守 
伴: 伴 
认清: 认清 
奠立: 奠立 
有待: 有待 
送到: 送到 
充入: 充入 
回收: 回收 
固化: 固化 
填写: 填写 
激活: 激活 
核验: 核验 
渲染: 渲染 
搅乱: 搅乱 
蹲: 蹲 
操作: 操作 
提及: 提及 
产能: 产能 
刮: 抢 刮 
需要: 需 要 亟待 得 用 待 需要 
确保: 保证 确保 包 
成: 能 成 
显示: 显得 展示 亮 显示 显 
通过: 穿过 穿 通过 
涵盖: 蕴含 蕴藏 涵盖 包含 带有 
做: 办理 干 作 做 办 
想: 思考 揣摩 考虑 想 
等待: 等待 等 
论: 论 依 
激发: 鼓舞 激励 激发 
征集: 征集 招收 
看: 访 访问 看 
描绘: 勾画 抒写 写 描绘 
企图: 企图 打算 
经过: 经过 透过 
退出: 脱离 剥离 退出 
补: 加 补 补充 
帮: 协助 支援 拉 帮扶 帮 助 帮助 
登记: 注册 登记 
登: 踏 登 踩 
协商: 商量 说道 谋 协商 
回到: 回到 回 赶回 归 
相隔: 相隔 隔 
超过: 超越 大于 出乎 超 高于 超出 超过 
枯竭: 枯竭 缺乏 不足 
兴: 振兴 兴 
同意: 允许 同意 
看待: 看待 对待 
注入: 注入 流 
低于: 低于 小于 仅次于 
开: 挖 打 开 
预防: 防范 防止 预防 
带: 身着 带 
如: 如同 如 
积累: 积攒 积累 
接近: 临 临近 守 接近 
增长: 加上 丰富 增长 
请: 求 呼吁 请 
划: 划 破 
传达: 传达 转达 
开展: 拓 展开 开展 
危害: 危害 侵害 
结合: 构成 整合 结合 
回应: 应对 答应 答 回答 回应 
表现: 显露 表现 摆 
属: 连 通 联网 接入 接 属 接通 连接 
成为: 变为 化为 变成 成为 
充满: 满载 充满 
携: 携 携带 捎 
决定: 核定 决定 
体会: 体验 体会 感受 
当选: 当选 入选 
迸发: 射 迸发 喷洒 
联系: 沟通 联系 
覆盖: 埋 掩盖 挂 覆盖 
接受: 吸收 收到 接受 接到 
建立: 确立 立 建 成立 建立 
想起: 回顾 想起 回忆 
关心: 关心 关爱 关注 
问: 经营 治理 管理 问 
变: 转变 变 
停止: 停 住 停止 止住 停下 
面临: 负 遭遇 遭受 遇 受 吃 受到 遭到 面临 
探讨: 研讨 审议 探讨 议论 讨论 
考察: 考察 查明 
愿: 愿 肯 愿意 
带领: 率 率领 引领 带领 
推进: 有助于 推动 推进 促进 
批准: 批准 认可 
说: 云 谈 称 说 
让: 深受 让 
明确: 肯定 眼看 明确 明白 
提到: 波及 关乎 涉及 提到 
见: 拜见 见 
发扬: 发扬 弘扬 
担任: 任 出任 担任 
掀开: 掀开 扭 
怀念: 怀念 纪念 
赢: 赢 战胜 
形成: 完 做到 形成 完成 
培养: 造就 培养 栽培 培育 
拿: 执掌 握 拿 
表明: 标志 表明 
反: 反 倒 
完善: 健全 完善 
学习: 读 学 学习 
采取: 行使 运用 应用 采用 利用 动 使用 采取 
赋予: 赋予 授予 致 
占: 占有 占据 占 
发表: 昭示 宣告 揭示 宣布 颁发 公布 发布 发表 
找: 探寻 寻找 找 
确定: 规定 确定 
移送: 搬 移送 
了解: 理解 懂 了解 知道 
走: 离开 走 
抱: 胸怀 抱 
拉开: 启 拉开 开启 打开 
来自: 源于 来自 
现有: 现有 并存 
没有: 无 没 没有 
改造: 改造 改革 
陷入: 陷于 陷入 
保护: 保护 保障 护 维护 
靠: 依靠 指 借助 依赖 靠 
安排: 配置 部署 安排 
解决: 化解 解决 
强调: 注重 讲求 重视 尊重 强调 讲究 
创造: 创办 创立 开创 创造 
符合: 适合 符合 
筑: 筑 修建 
举办: 设 开设 举办 设立 
克服: 克服 控制 压 
降低: 降低 降 下降 回落 
存: 存 满怀 
花: 花费 花 
压缩: 压缩 减 削减 
采购: 采购 购买 买 购置 
查阅: 查阅 查看 
在于: 取决于 在于 
发起: 倡导 提倡 发起 
改善: 改进 改善 
选择: 择 选 选择 挑 
打下: 打下 攻克 
表演: 表演 上演 
检查: 检查 视察 
有利于: 惠及 有利于 
参加: 列席 参加 出席 
负责: 肩负 背 承担 担负 负责 担当 
支撑: 撑 支撑 
置于: 置于 坐 
发生: 发出 产生 发生 发 
继续: 继续 延续 
启动: 开行 启动 
注意: 留意 注意 
采访: 采访 募集 采集 
看到: 观看 看出 见到 看到 
代表: 取代 代 代表 
提升: 升级 提升 
呈现: 显现 展现 呈现 
研究: 衡量 研究 
觉得: 深感 感到 觉得 
造成: 导致 造成 
发现: 意识 发现 
引进: 推荐 引进 
留: 留 留下 
揭秘: 揭秘 揭 
观察: 观察 着眼 
喜欢: 喜欢 爱 
松: 松 放松 
达: 表述 达 表达 发挥 
达到: 达成 达到 
确认: 确认 承认 认同 
抻: 抻 拽 
安置: 交待 安置 
分裂: 披 分裂 
进入: 加入 进入 投入 
鼓励: 鞭策 鼓励 
栽种: 栽种 种植 
从事: 从事 处理 
只有: 只有 只是 
阐明: 发明 阐明 说明 
体现: 反映 体现 
探索: 追究 探索 
实现: 贯彻 落实 实现 
召开: 召开 举行 
认为: 以为 认为 
引导: 指引 引导 
增加: 增 增加 
示范: 示范 演示 
推出: 生产 推出 
享受: 享受 分享 
开发: 开发 开辟 
带来: 带动 带来 
表示: 意味着 表示 
会见: 会见 接见 
不顾: 任凭 不顾 
会同: 会同 跟 
保持: 维持 保持 支持 
对照: 对照 相比 比较 
领: 领 经受 秉承 
就是: 说是 视为 便是 就是 系 
引起: 吸引 掀起 抓住 引起 
迈出: 迈出 跨过 迈向 
处于: 位于 在 位居 放在 居 坐落 地处 处于 居于 处 处在 
坚持: 看好 主持 坚持 
放弃: 丢 废除 放弃 
趋于: 迎 冲 当 给 面对 直面 趋于 
遵守: 遵奉 遵守 
加强: 加强 提高 加深 深化 强化 
希望: 期待 希望 期盼 
作为: 正是 当成 看作 当作 作为 
驱动: 令 驱动 使得 驱使 
相信: 相信 信 坚信 
感慨: 感慨 哀叹 
组建: 配 组建 
实施: 普及 推广 执行 实行 履行 推行 实施 实践 
听取: 听取 听 聆听 
列为: 列入 列为 
听说: 听到 听说 
加大: 加大 扩大 
有: 具备 负有 享有 有着 拥有 有 具有 共有 
前往: 赴 前往 赶往 
持: 把握 持 
发展: 迈进 发展 
准备: 筹备 准备 
存储: 存储 保留 
聚集: 聚集 集聚 聚 汇聚 集中 
搞: 抓好 做好 盘活 来 搞 抓 
输: 捐 输 献 
交给: 交付 提交 交给 付出 呈 
使: 派 叫 派出 使 选派 分 
递给: 递给 传递 
做出: 做出 狠抓 
飙升: 升 飙升 
得知: 得知 获悉 查出 深谙 
询问: 查询 询问 咨询 
得到: 收获 获 赢得 取得 得到 获得 得出 汲取 
荣获: 荣获 争取 
制造: 打造 制造 制作 酿 
换: 交换 换 替换 
