指出: 指出 
销售: 销售 
　: 　 
愿: 愿 
看待: 看待 
欢迎: 欢迎 
充满: 充满 
交换: 交换 
适应: 适应 
测算: 测算 
下降: 下降 
渗透: 渗透 
下达: 下达 
体现: 体现 
奠定: 奠定 
支配: 支配 
结束: 结束 
出现: 出现 
上涨: 上涨 
坚定: 坚定 
脱离: 脱离 
走向: 走向 
担忧: 担忧 
分管: 分管 
派驻: 派驻 
启动: 启动 
立案: 立案 
办理: 办理 
通报: 通报 
定位: 定位 
有待: 有待 
输送: 输送 
发放: 发放 
立足: 立足 
缴纳: 缴纳 
防: 防 
听取: 听取 
辞去: 辞去 
讨论: 讨论 
审查: 审查 
坚信: 坚信 
回归: 回归 
上传: 上传 
交流: 交流 
完善: 完善 
查看: 查看 
升功: 升功 
夺得: 夺得 
分列: 分列 
治愈: 治愈 
点亮: 点亮 
听到: 听到 
回馈: 回馈 
践行: 践行 
升入: 升入 
召集: 召集 
输出: 输出 
孕育: 孕育 
保驾: 保驾 
值得: 值得 
喜欢: 喜欢 
缺乏: 缺乏 
演唱: 演唱 
贯穿: 贯穿 
高举: 高举 
证明: 证明 
指明: 指明 
构建: 构建 
驻: 驻 
治国: 治国 
融合: 融合 
复兴: 复兴 
追求: 追求 
秉持: 秉持 
素有: 素有 
援建: 援建 
冒: 冒 
感动: 感动 
访: 访 
纳入: 纳入 
推出: 推出 
贴: 贴 
摘: 摘 
照顾: 照顾 
力克: 力克 
端: 端 
送给: 送给 
献: 献 
教育: 教育 
来讲: 来讲 
干预: 干预 
不得枉: 不得枉 
借鉴: 借鉴 
分成: 分成 
认识: 认识 
赐予: 赐予 
救赎: 救赎 
俗称: 俗称 
建议: 建议 
建成: 建成 
缩小: 缩小 
步入: 步入 
贪污: 贪污 
从政: 从政 
抹黑: 抹黑 
啃: 啃 
催生: 催生 
走过: 走过 
领跑: 领跑 
起诉: 起诉 
记录: 记录 
放下: 放下 
　　: 　　 
纵横: 纵横 
朗诵: 朗诵 
落入: 落入 
述说: 述说 
绘无量: 绘无量 
占地: 占地 
蘸: 蘸 
考验: 考验 
钦白: 钦白 
逛: 逛 
打翻: 打翻 
换上: 换上 
组建: 组建 
评选: 评选 
透露: 透露 
面向: 面向 
何止: 何止 
尝试: 尝试 
搭建: 搭建 
上升: 上升 
低于: 低于 
释放: 释放 
激活: 激活 
收窄: 收窄 
发送: 发送 
回升: 回升 
投资: 投资 
依托: 依托 
互学: 互学 
重申: 重申 
领先: 领先 
炸: 炸 
服务: 服务 
注意: 注意 
联系: 联系 
注明: 注明 
培育: 塑造 造就 造 培育 培养 
献身: 牺牲 献身 
憋: 堵 憋 
碰: 冲击 打 拍 碰 
离: 偏离 离开 离 
赶上: 赶超 赶上 
分配: 分 分配 
陪: 伴随 陪 
交: 交给 交 
唯有: 止 唯有 
同意: 兴 允许 同意 
问: 咨询 问 
决定: 立志 决定 
达: 致以 发表 表达 达 发挥 
参加: 到位 列席 出席 参加 
改革: 改造 改革 
改良: 改善 改良 
给: 深受 吃 受 给 
展现: 呈现 显现 见 展现 表现 
继续: 延续 继承 继续 
变: 扭转 变化 变 
带领: 率 引领 带领 率领 
翻: 倾 翻 
受到: 遭受 饱受 面临 负 遭遇 受到 
算: 算是 算 
遵循: 遵守 遵循 
入: 契合 符合 入 称 
负责: 背 担当 担 承担 负责 
写: 勾画 写 
摆: 撼动 摆 
接受: 收 吸收 吸纳 接受 收到 
如: 像 宛如 如 
交代: 供 交代 
叫做: 称作 叫做 称之为 
联结: 统一 联结 
建: 修建 修 建 
救: 挽救 救 
举办: 设置 开 立 设 举办 设立 
表明: 阐明 说明 发明 表明 
推动: 促进 推进 推动 推向 有助于 
超过: 跨 超越 跨越 超过 
开发: 开辟 开拓 开发 
回: 回应 应 回答 回 
终止: 停下 终止 
处理: 从事 安排 处理 
规范: 规范 谱 
占: 占据 占有 占 
回落: 减少 回落 
发生: 产生 发出 发 发生 
琢磨: 研究 琢磨 
治理: 管理 管 治理 经营 
学习: 学 学习 
了解: 知 明白 知道 懂得 掌握 理解 了解 
转向: 转向 转发 转化 
告诫: 告诫 劝 
陷入: 沦为 陷入 
逢: 碰到 逢 
看到: 看出 观看 见到 看 看到 
强调: 推崇 注重 尊重 重视 强调 
观察: 考察 观察 
涵盖: 带有 含 涵盖 
任: 放任 任 
不及: 没有 亚于 不及 
说: 讲 诠释 说 
传播: 传播 传遍 传 传来 
送: 赠送 送 
需要: 用 需 待 亟待 需要 
靠近: 凑近 挨着 靠近 
会见: 会 会见 
帮: 拉 帮助 扶持 帮 
接入: 连着 搭 接入 对接 
收藏: 馆藏 藏 收藏 
对照: 对比 对照 
配备: 武装 配备 
包括: 概括 包括 
在于: 有赖于 在于 
请求: 呼吁 请求 
等于: 等 抵 等于 
回到: 赶回 回到 
关注: 关注 关爱 
涉嫌: 关乎 涉嫌 涉及 提到 
得到: 取 落 取得 获得 得到 获 赢得 
打开: 拉开 开启 打开 
开展: 开通 开展 
圈: 扣 圈 
互为: 互动 互为 
依靠: 借助 靠 指 依靠 
增加: 增 增加 
参观: 浏览 参观 
反映: 汇报 反馈 申报 反映 
实现: 落实 贯彻 实现 
采取: 使用 运用 采用 采取 利用 
治疗: 治 治疗 
主持: 主持 主办 
说道: 谋 商谈 说道 
激发: 激发 激励 
发起: 发起 提倡 
成: 构成 整合 结合 组成 成 
明确: 明确 显 
回忆: 回顾 回忆 
参与: 参与 介入 
覆盖: 覆盖 埋 
形成: 做到 完成 形成 
带: 引导 领 带 
围绕: 围绕 环绕 
带来: 带动 带来 
成为: 变成 变为 成为 
发展: 发展 进步 
提升: 提升 升级 
来到: 赶到 来到 
来自: 来自 来源于 
举行: 举行 召开 
打造: 打造 制造 制作 
建立: 建立 确立 树立 
通过: 通过 穿 
占领: 打下 占领 
造成: 导致 造成 
认为: 认为 道 以为 
持: 持 拿 
怕: 怕 害怕 
存在: 设有 存在 
表示: 表示 代表 
发布: 颁发 颁布 发布 
大于: 高于 超出 大于 
达到: 达成 达到 
投入: 加入 投入 
吞噬: 吞并 吞噬 
深知: 深知 得知 
处于: 放在 位居 居 位于 地处 处在 处于 
保持: 支撑 支持 保障 保持 
觉得: 感到 觉得 发现 
吸引: 抓住 引发 掀起 吸引 引起 
就是: 便是 视为 就是 系 属 乃 
无: 并非 无 
展示: 显示 展示 可见 
趋于: 冲 面对 趋 趋于 
剩: 留下 剩 
制定: 拟定 制定 
增长: 提高 增长 加强 增强 深化 强化 
作为: 当作 看成 作为 正是 
让: 令 使得 驱动 叫 使 让 促使 
希望: 愿意 要 期待 希望 想 期盼 
记得: 记取 记得 
尽: 实践 履行 尽 执行 执 实行 推行 奉行 
扩大: 拓宽 推广 加大 扩大 
赴: 前往 赴 奔赴 
有: 富有 有 享有 具备 具有 拥有 有着 共有 
喊: 高喊 喊 
探索: 追溯 探索 
捐: 捐 租 
走: 周旋 走 
进入: 登 进入 注入 
失: 失去 失 丧失 
做: 来 办 抓 整治 作 搞 做 做好 
优化: 优化 盐碱化 
汇集: 汇集 聚集 
定: 核定 定 
否定: 认定 否定 
